x,y,rho,V,Ex,Ey
0.0078125,0.6640625,3.10138379205e-13,4.46291924768e-05,-0.00571335628737,0.000168029748252
0.0078125,0.671875,1.83481939198e-13,4.33100565502e-05,-0.00554423548706,0.000169397647232
0.0078125,0.6796875,1.05932259914e-13,4.19823542388e-05,-0.00537403528707,0.000170239840368
0.0078125,0.6875,5.96843214519e-14,4.06500590445e-05,-0.00520326503136,0.000170591258539
0.0078125,0.6953125,3.28162832388e-14,3.93168658241e-05,-0.00503239812445,0.00017048803117
0.0078125,0.703125,1.76082270467e-14,3.79861835574e-05,-0.00486187113129,0.000169966966067
0.0078125,0.7109375,9.22017098503e-15,3.66611319793e-05,-0.00469208337321,0.000169065081856
0.0078125,0.71875,4.71150252063e-15,3.53445416534e-05,-0.00452339696505,0.000167819195124
0.0078125,0.7265625,2.34950832394e-15,3.40389570555e-05,-0.00435613723719,0.000166265562615
0.0078125,0.734375,1.14338280204e-15,3.27466422376e-05,-0.0041905934872,0.000164439577479
0.0078125,0.7421875,5.43004502281e-16,3.14695886574e-05,-0.00402702000729,0.00016237551739
0.0078125,0.75,2.51658910938e-16,3.02095247784e-05,-0.00386563733665,0.000160106341538
0.0078125,0.7578125,1.13819926952e-16,2.89679270709e-05,-0.00370663369134,0.000157663532811
0.0078125,0.765625,5.02367342792e-17,2.77460320782e-05,-0.00355016652811,0.000155076981168
0.0078125,0.7734375,2.16382235894e-17,2.65448492401e-05,-0.00339636420337,0.000152374903888
0.0078125,0.78125,9.09533952881e-18,2.53651742049e-05,-0.00324532769213,0.000149583798403
0.0078125,0.7890625,3.73089764945e-18,2.42076023901e-05,-0.00309713233706,0.00014672842342
0.0078125,0.796875,1.49349874392e-18,2.3072542589e-05,-0.00295182960109,0.000143831804234
0.0078125,0.8046875,5.83436366171e-19,2.19602304489e-05,-0.00280944880189,0.000140915258347
0.0078125,0.8125,2.22422765862e-19,2.08707416773e-05,-0.00266999880972,0.000137998437784
0.0078125,0.8203125,8.27488726314e-20,1.98040048585e-05,-0.00253346969391,0.000135099384809
0.0078125,0.828125,3.00429131119e-20,1.87598137897e-05,-0.00239983430635,0.000132234598086
0.0078125,0.8359375,1.06443489933e-20,1.77378392635e-05,-0.002269049793,0.000129419106621
0.0078125,0.84375,3.68038520371e-21,1.67376402487e-05,-0.00214105902713,0.000126666549173
0.0078125,0.8515625,1.24183688254e-21,1.57586744326e-05,-0.00201579196005,0.000123989257122
0.0078125,0.859375,4.08914903956e-22,1.48003081062e-05,-0.00189316688686,0.000121398339048
0.0078125,0.8671875,1.31400928122e-22,1.3861825385e-05,-0.00177309162655,0.000118903765577
0.0078125,0.875,4.1206054548e-23,1.29424367691e-05,-0.00165546461685,0.000116514453249
0.0078125,0.8828125,1.26101641755e-23,1.2041287053e-05,-0.00154017592555,0.000114238346413
0.0078125,0.890625,3.76597606855e-24,1.11574626063e-05,-0.00142710818077,0.000112082496329
