step,id,x,y,vx,vy
2820,0,0.498618,0.499254,-0.000225564,-0.0042625
2820,1,0.482005,0.361202,0.255908,0.24718
2850,0,0.498616,0.49919,-2.50973e-05,-0.00424266
2850,1,0.485862,0.365073,0.258264,0.269057
2880,0,0.498617,0.499127,0.000176506,-0.00421803
2880,1,0.48975,0.369278,0.260115,0.291709
2910,0,0.498621,0.499064,0.000379225,-0.00418943
2910,1,0.493662,0.373829,0.261394,0.315258
2940,0,0.498629,0.499001,0.000583226,-0.00415735
2940,1,0.497589,0.37874,0.261998,0.339764
2970,0,0.498639,0.498939,0.000788764,-0.00412275
2970,1,0.501518,0.384027,0.261805,0.365374
3000,0,0.498652,0.498877,0.000996284,-0.0040863
3000,1,0.505438,0.389708,0.260656,0.392197
3030,0,0.498669,0.498816,0.00120649,-0.00404902
3030,1,0.509332,0.3958,0.258342,0.420397
3060,0,0.498688,0.498756,0.0014203,-0.00401174
3060,1,0.513181,0.402327,0.254605,0.450103
3090,0,0.498711,0.498696,0.00163924,-0.00397566
3090,1,0.516961,0.409312,0.249061,0.481535
3120,0,0.498738,0.498637,0.0018653,-0.00394164
3120,1,0.520642,0.416782,0.24125,0.514827
3150,0,0.498767,0.498578,0.00210167,-0.0039107
3150,1,0.524184,0.424767,0.230458,0.550178
3180,0,0.498801,0.498519,0.00235224,-0.00388327
3180,1,0.527536,0.433298,0.215818,0.587634
3210,0,0.498838,0.498461,0.00262308,-0.00385895
3210,1,0.530633,0.442406,0.196011,0.627085
3240,0,0.49888,0.498403,0.00292277,-0.00383506
3240,1,0.533382,0.452118,0.169241,0.668014
3270,0,0.498926,0.498346,0.00326116,-0.00380554
3270,1,0.535665,0.462448,0.13342,0.709139
3300,0,0.498978,0.498289,0.00365171,-0.0037556
3300,1,0.537325,0.473379,0.0857247,0.747464
3330,0,0.499036,0.498234,0.00410419,-0.00365792
3330,1,0.538166,0.484831,0.0241115,0.777512
3360,0,0.499101,0.49818,0.00460973,-0.0034724
3360,1,0.537985,0.496623,-0.0499131,0.791376
3390,0,0.499174,0.49813,0.00512476,-0.0031668
3390,1,0.536648,0.508457,-0.127745,0.782575
3420,0,0.499255,0.498086,0.00558227,-0.00274859
3420,1,0.534201,0.519993,-0.196271,0.752486
3450,0,0.499341,0.498048,0.00595138,-0.00226029
3450,1,0.530839,0.530968,-0.249363,0.709469
3480,0,0.499433,0.498018,0.00623212,-0.00174016
3480,1,0.526797,0.54125,-0.287244,0.661092
3510,0,0.499528,0.497996,0.0064395,-0.00121398
3510,1,0.522281,0.550799,-0.313076,0.612384
3540,0,0.499626,0.497982,0.00658739,-0.000694818
3540,1,0.51745,0.559632,-0.329775,0.565843
3570,0,0.499725,0.497975,0.0066884,-0.000187681
3570,1,0.51242,0.56779,-0.340013,0.522345
3600,0,0.499826,0.497976,0.00675122,0.000305716
3600,1,0.507273,0.575319,-0.345584,0.4821
3630,0,0.499928,0.497984,0.00678193,0.000785654
3630,1,0.502069,0.582268,-0.347831,0.444915
3660,0,0.500029,0.497999,0.00678454,0.00125302
3660,1,0.49685,0.58868,-0.347652,0.410439
3690,0,0.500131,0.498022,0.006762,0.00170468
3690,1,0.491649,0.594594,-0.345672,0.378381
3720,0,0.500232,0.49805,0.00671689,0.00214026
3720,1,0.486487,0.600042,-0.342334,0.348428
3750,0,0.500332,0.498086,0.00665114,0.00256047
3750,1,0.481384,0.605056,-0.337948,0.320318
3780,0,0.500431,0.498127,0.00656627,0.0029658
3780,1,0.476353,0.60966,-0.332743,0.293823
3810,0,0.500529,0.498175,0.00646355,0.00335669
3810,1,0.471405,0.613877,-0.326889,0.268743
3840,0,0.500625,0.498228,0.006344,0.00373344
3840,1,0.466549,0.617728,-0.320506,0.244915
3870,0,0.500719,0.498287,0.00620852,0.00409612
3870,1,0.461792,0.62123,-0.313691,0.222201
3900,0,0.500811,0.498351,0.00605782,0.00444482
3900,1,0.45714,0.624399,-0.30651,0.200472
3930,0,0.500901,0.49842,0.00589269,0.00477949
3930,1,0.452598,0.627249,-0.299028,0.179633
3960,0,0.500988,0.498494,0.00571366,0.00510004
3960,1,0.44817,0.629792,-0.291271,0.159584
3990,0,0.501072,0.498573,0.00552133,0.00540626
3990,1,0.443861,0.63204,-0.28328,0.140254
4020,0,0.501154,0.498656,0.0053163,0.00569792
4020,1,0.439673,0.634003,-0.275091,0.121577
4050,0,0.501232,0.498744,0.00509897,0.00597477
4050,1,0.435609,0.63569,-0.266696,0.103486
4080,0,0.501307,0.498835,0.00486989,0.00623646
4080,1,0.431673,0.63711,-0.258125,0.0859317
4110,0,0.501378,0.498931,0.0046295,0.00648263
4110,1,0.427866,0.638271,-0.249381,0.0688651
4140,0,0.501446,0.49903,0.0043783,0.00671289
4140,1,0.424192,0.639179,-0.240485,0.0522464
4170,0,0.501509,0.499132,0.00411667,0.00692684
4170,1,0.420653,0.63984,-0.231428,0.036037
4200,0,0.501569,0.499237,0.0038451,0.00712401
4200,1,0.41725,0.640262,-0.22222,0.0202022
4230,0,0.501625,0.499346,0.00356396,0.00730394
4230,1,0.413987,0.640448,-0.212856,0.00471202
